Dimensions,Average Runtime (nanoseconds) 100 trials
1000,151395.97
1050,107893.79
1100,121062.45
1150,114852.23
1200,148636.82
1250,116512.11
1300,157085.88
1350,129537.31
1400,165683.02
1450,155959.92
1500,152124.65
1550,174182.79
1600,181049.49
1650,205424.94
1700,176554.83
1750,227469.67
1800,223228.86
1850,195191.89
1900,197592.85
1950,288265.42
2000,250420.07
2050,277756.62
2100,236587.51
2150,273009.15
2200,278773.14
2250,309869.31
2300,364147.83
2350,393647.87
2400,315169.94
2450,337929.06
2500,335918.27
2550,364857.64
2600,312314.02
2650,326563.72
2700,321410.86
2750,354639.87
2800,353369.43
2850,372611.33
2900,367722.21
2950,402341.18
3000,387375.65
3050,372476.16
3100,444717.94
3150,387778.73
3200,445683.17
3250,430879.5
3300,391228.91
3350,448293.15
3400,428160.22
3450,425919.56
3500,422631.53
3550,414604.13
3600,473935.74
3650,472212.55
3700,484354.44
3750,477946.45
3800,474015.54
3850,524022.55
3900,519253.06
3950,524670.63
4000,499273.3
4050,501785.15
4100,553440.28
4150,505393.63
4200,521588.12
4250,530227.09
4300,608977.04
4350,633748.6
4400,565385.76
4450,588333.44
4500,581762.32
4550,573217.57
4600,568615.25
4650,582087.26
4700,572165.8
4750,602872.06
4800,630786.53
4850,611139.22
4900,584945.57
4950,589280.6
5000,610152.77
5050,595117.72
5100,641510.66
5150,643205.7
5200,617858.46
5250,673949.91
5300,780342.93
5350,788403.04
5400,773410.48
5450,841134.2
5500,830663.88
5550,825204.52
5600,755342.93
5650,726011.54
5700,749965.58
5750,712544.03
5800,764415.12
5850,736123.16
5900,780582.98
5950,850545.34
6000,730076.87
6050,815432.64
6100,753477.71
6150,803368.89
6200,911003.54
6250,866032.9
6300,820714.29
6350,948244.62
6400,944488.91
6450,1023691.21
6500,1024896.79
6550,997363.19
6600,984295.03
6650,1095935.46
6700,1114837.75
6750,1042664.25
6800,1065031.38
6850,1040364.75
6900,1058126.21
6950,1086527.89
7000,1189002.97
7050,1113549.73
7100,953567.67
7150,978632.24
7200,1085785.62
7250,1032290.34
7300,1212050.54
7350,1014455.2
7400,1177116.83
7450,1160638.75
7500,1054862.2
7550,942194.25
7600,1036432.3
7650,970849.44
7700,1007583.34
7750,988200.92
7800,1069544.81
7850,1255906.15
7900,1024991.96
7950,1183885.52
8000,1065125.09
8050,1070249.53
8100,1172035.24
8150,1229045.05
8200,1244073.45
8250,1218440.8
8300,1370489.68
8350,1244987.74
8400,1314300.34
8450,1301638.06
8500,1303696.22
8550,1178824.31
8600,1341123.91
8650,1133344.62
8700,1332896.47
8750,1414750.41
8800,1380707.79
8850,1349277.66
8900,1145027.91
8950,1151440.14
9000,1249806.47
9050,1107392.63
9100,1204810.86
9150,1149120.14
9200,1193371.84
9250,1343925.09
9300,1507525.55
9350,1394166.1
9400,1352249.62
9450,1380766.2
9500,1399660.1
9550,1496324.41
9600,1595617.96
9650,1499551.12
9700,1544579.39
9750,1491253.81
9800,1573472.4
9850,1484385.55
9900,1519621.29
9950,1493029.41
10000,1583846.29
